OBJECTID,ECODE,Chapter,Region_Type,RCODE,Region,DCODE,Division,Chapter_Address,Chapter_Address_2,Chapter_City,Chapter_State,Chapter_Zip,Chapter_Phone,Time_Zone,FEMA_Region,Status,Score,Match_addr
148,47138,American Red Cross serving South Puget Sound and Olympics,C,47R08,Northwest Region,D21,Pacific Division,1235 S. Tacoma Way,0,Tacoma,WA,98409,253-474-0400,Pacific,X,,,
149,48119,American Red Cross of the Ohio River Valley,C,48R04,Central Appalachia Region,D24,Central Atlantic Division,220 8th Street,0,Parkersburg,WV,26101,800-733-2767,Eastern,III,,,
150,48048,American Red Cross of Central and Southern West Virginia,R,48R04,Central Appalachia Region,D24,Central Atlantic Division,113 Lakeview Dr.,0,Charleston,WV,25313,800-733-2767,Eastern,III,,,
151,48248,American Red Cross of the Greater Shenandoah Valley,C,48R04,Central Appalachia Region,D24,Central Atlantic Division,1131 Conrad Ct.,0,Hagerstown,MD,21740,800-733-2767,Eastern,III,,,
152,49064,American Red Cross of Southwest Wisconsin,C,49R12,Wisconsin Region,D23,North Central Division,4860 Sheboygan Ave.,0,Madison,WI,53705,877-618-6628,Central,V,,,
153,49110,American Red Cross of Southeast Wisconsin,R,49R12,Wisconsin Region,D23,North Central Division,2600 W. Wisconsin Avenue,0,Milwaukee,WI,53233,414-342-8680,Central,V,,,
154,49248,American Red Cross of North Central Wisconsin,C,49R12,Wisconsin Region,D23,North Central Division,330 Grand Avenue,Ste 104,Wausau,WI,54403,877-618-6628,Central,V,,,
155,50060,American Red Cross of Wyoming,C,06R08,Colorado and Wyoming Region,D22,Southwest and Rocky Mountain Division,5500 Bishop Blvd,0,Cheyenne,WY,82009,307-757-3426,Eastern,III,,,
156,54004,American Red Cross of Hawaii,R,54R04,Pacific Islands Region,D21,Pacific Division,4155 Diamond Head Road,0,Honolulu,HI,96816,808-734-2101,Hawaii,X,,,
157,04244,American Red Cross serving Greater Arkansas,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,401 S. Monroe St.,0,Little Rock,AR,72205,501-748-1000,Central,VI,,,
158,01019,American Red Cross serving Mid Alabama,R,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,114 22nd Street South,0,Birmingham,AL,35233,205-795-8700,Central,IV,,,
159,05022,American Red Cross serving the Northern Valleys,C,05R12,Los Angeles Region,D21,Pacific Division,1501 S BRAND BLVD,0,Glendale,CA,91204,818-243-3121,Pacific,IX,,,
160,05280,American Red Cross serving the Greater San Gabriel and Pomona Valleys,C,05R12,Los Angeles Region,D21,Pacific Division,376 W Huntington Drive,0,Arcadia,CA,91007,626-447-2193,Pacific,IX,,,
161,05344,American Red Cross of San Bernardino County,C,05R32,Southern California Region,D21,Pacific Division,10600 Trademark Parkway N.,Ste. 406,Rancho Cucamonga,CA,91730,909-888-1481,Pacific,IX,,,
162,07038,American Red Cross of Connecticut,R,07R08,Connecticut and Rhode Island Region,D27,Northeast Division,209 Farmington Ave.,0,Farmington,CT,06032,877-287-3327,Eastern,VIII,,,
163,11189,American Red Cross of Northeast Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,490 Pulaski St.,0,Athens,GA,30601,706-353-1645,Eastern,IV,,,
164,11024,American Red Cross of East Central Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,1322 Ellis St.,0,Augusta,GA,30901,706-724-8481,Eastern,IV,,,
165,11468,American Red Cross of Northwest Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,112 John Maddox Dr.,0,Rome,GA,30165,844-536-6226,Eastern,IV,,,
166,06166,American Red Cross of the Mile High Area,R,06R08,Colorado and Wyoming Region,D22,Southwest and Rocky Mountain Division,444 Sherman St.,0,Denver,CO,80203,303-722-7474,Mountain,VIII,,,
167,12024,American Red Cross of Greater Idaho,R,12R04,"Idaho, Montana and Est Oregon Region",D21,Pacific Division,5380 W Franklin Rd,0,Boise,ID,83705,208-947-4357,Mountain,X,,,
168,13392,American Red Cross serving South Central Illinois,C,13R04,Illinois Region,D23,North Central Division,769 S. Durkin Drive,0,Springfield,IL,62704,217-787-7602,Central,V,,,
169,13302,American Red Cross of Greater Chicago,R,13R04,Illinois Region,D23,North Central Division,2200 W. Harrison Street,0,Chicago,IL,60612,312-729-6100,Central,V,,,
170,14386,American Red Cross of Southwest Indiana,C,14R12,Indiana Region,D23,North Central Division,29 S Stockwell Rd,0,Evansville,IN,47714,812-471-7200,Eastern,V,,,
171,13490,American Red Cross of the Illinois River Valley,C,13R04,Illinois Region,D23,North Central Division,1293 Windham Parkway,0,Romeoville,IL,60446,630-378-0344,Central,V,,,
172,17047,American Red Cross of Eastern Kentucky,C,17R08,Kentucky Region,D24,Central Atlantic Division,101 Bulldog Lane,0,Hazard,KY,41701,606-629-3344,Eastern,IV,,,
173,16213,American Red Cross of Capital Area Kansas,C,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,1321 SW Topeka Blvd,0,Topeka,KS,66612,785-354-9238,Central,VII,,,
174,18125,American Red Cross of Capital West Louisiana,C,18R08,Louisiana Region,D22,Southwest and Rocky Mountain Division,4655 Sherwood Common,0,Baton Rouge,LA,70816,225-291-4533,Central,VI,,,
175,21501,American Red Cross of Greater Boston MA,R,21R04,Massachusetts Region,D27,Northeast Division,101 Station Landing,Suite 510,Medford,MA,02155,781-410-3670,Eastern,I,,,
176,23222,American Red Cross serving Northern and Central Minnesota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,2524 West Maple Grove Rd.,0,Duluth,MN,55811,218-722-0071,Central,V,,,
177,24180,American Red Cross of North Mississippi,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,4127 Westside Drive,0,Tupelo,MS,38802,662-842-6101,Central,IV,,,
178,25062,American Red Cross of Central and Northern Missouri,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,1511 S. Providence Rd.,0,Columbia,MO,65203,573-635-1132,Central,VII,,,
179,25150,American Red Cross of Greater Kansas City and Northwest Missouri,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,6601 Winchester Avenue,Suite 110,Kansas City,MO,64133,816-931-8400,Central,VII,,,
180,25060,American Red Cross of Southeast Missouri and Northeast Arkansas,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,2430 Myra Drive,0,Cape Girardeau,MO,63703,573-335-9471,Central,VII,,,
181,25380,American Red Cross of Greater St Louis,R,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,10195 Corporate Square,0,St. Louis,MO,63132,314-516-2800,Central,VII,,,
182,25152,American Red Cross of Southern Missouri,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,1545 N West Bypass,0,Springfield,MO,65803,417-832-9500,Central,VII,,,
183,26036,American Red Cross of Montana,C,12R04,"Idaho, Montana and Est Oregon Region",D21,Pacific Division,1300 28th St. South,3rd Fl.,Great Falls,MT,59403,800-272-6668,Mountain,VIII,,,
184,28016,American Red Cross of Southern Nevada,C,44R04,Utah and Nevada Region,D22,Southwest and Rocky Mountain Division,444 E Warm Springs Rd,Suite 110,Las Vegas,NV,89119,702-791-3311,Pacific,IX,,,
185,27234,American Red Cross of Southeast Nebraska,C,15R08,Nebraska Iowa Region,D23,North Central Division,4600 Valley Road,0,Lincoln,NE,68501,402-441-7997,Central,VII,,,
186,32140,American Red Cross of Western New York,R,32R20,Western New York Region,D27,Northeast Division,786 Delaware Ave.,0,Buffalo,NY,14209,716-886-7500,Eastern,II,,,
187,33068,The American Red Cross serving the Southern Piedmont of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,608 E. Franklin St.,0,Monroe,NC,28112,704-283-7402,Eastern,IV,,,
188,33188,The American Red Cross serving the Piedmont Triad of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,1501 Yanceyville St.,0,Greensboro,NC,27415,336-333-2111,Eastern,IV,,,
189,33380,American Red Cross of Northeastern North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,700 A Cromwell Avenue,0,Greenville,NC,27858,252-355-3800,Eastern,IV,,,
190,35106,American Red Cross of Miami Valley Ohio,C,35R12,Central and Southern Ohio Region,D24,Central Atlantic Division,370 West 1st St.,0,Dayton,OH,45401,937-222-6711,Eastern,V,,,
191,36256,American Red Cross serving South Central and Southeast Oklahoma,C,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,232 North Broadway,0,Shawnee,OK,74801,405-273-8800,Central,VI,,,
192,38212,American Red Cross of Delaware Valley PA,C,38R24,Southeastern Pennsylvania Region,D27,Northeast Division,"601 Westtown Rd, Suite 385",0,West Chester,PA,19382,610-750-8206,Eastern,III,,,
193,38360,American Red Cross of Philadelphia,R,38R24,Southeastern Pennsylvania Region,D27,Northeast Division,2221 Chestnut Street,0,Phildalephia,PA,19103,215-299-4000,Eastern,III,,,
194,38428,ARC of Chestnut Ridge and Allegheny Mountains,C,38R28,Greater Pennsylvania Region,D27,Northeast Division,351 Harvey Avenue B,0,Greensburg,PA,15601,724-834-6510,Eastern,III,,,
195,40050,American Red Cross of Central South Carolina,C,40R08,South Carolina Region,D25,Southeast and Caribbean Division,2751 Bull Street,0,Columbia,SC,29201,803-540-1200,Eastern,IV,,,
196,36104,American Red Cross serving Northern Oklahoma,C,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,114 W. 8th Street,0,Stillwater,OK,74074,405-372-1833,Central,VI,,,
197,42196,American Red Cross of East Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,6921 Middlebrook Pike,0,Knoxville,TN,37909,865-584-2999,Central,IV,,,
198,42192,American Red Cross of Northeast Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,660 Eastern Star Rd.,0,Kingsport,TN,37663,423-765-4222,Central,IV,,,
199,41016,American Red Cross serving Central and Western South Dakota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,1221 N. Maple,0,Rapid City,SD,57701,605-342-4010,Central,VIII,,,
200,42264,American Red Cross of Mid-South Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,1399 Madison Avenue,0,Memphis,TN,38104,901-726-1690,Central,IV,,,
201,43142,American Red Cross of Coastal Bend-Texas,C,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,1721 S. Brownlee Blvd,0,Corpus Christi,TX,78463,361-887-9991,Central,VI,,,
202,43200,American Red Cross serving DFW East,R,43R16,North Texas Region,D22,Southwest and Rocky Mountain Division,2055 Kendall Drive ,0,Dallas,TX,75235,214-678-4800,Central,VI,,,
203,43484,American Red Cross serving the Hill Country of Texas,C,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,333 Earl Garrett,0,Kerrville,TX,78028,830-257-4677,Central,VI,,,
204,43596,American Red Cross serving the Permian Basin of Texas,C,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,9601 Wright Dr.,0,Midland,TX,79711,432-563-2267,Central,VI,,,
205,43390,American Red Cross serving the Heart of Texas,C,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,4244 Boonville Rd.,0,Bryan,TX,77802,254-523-4985,Central,VI,,,
206,43784,American Red Cross serving East Texas,C,43R16,North Texas Region,D22,Southwest and Rocky Mountain Division,320 E. Rieck Rd.,0,Tyler,TX,75711,903-581-7981,Central,VI,,,
207,44006,American Red Cross of Northern Utah and Southwest Wyoming,C,44R04,Utah and Nevada Region,D22,Southwest and Rocky Mountain Division,2955 Harrison Blvd. 204,0,Ogden,UT,84405,801-627-0000,Mountain,VIII,,,
208,43916,American Red Cross serving Texas Big Country,C,43R16,North Texas Region,D22,Southwest and Rocky Mountain Division,1809 5th St.,0,Wichita Falls,TX,76301,325-677-2622,Central,VI,,,
209,48240,American Red Cross of the Allegheny Highlands,C,48R04,Central Appalachia Region,D24,Central Atlantic Division,1299 Pineview Dr. Ste 300,0,Morgantown,WV,26505,800-733-2767,Eastern,III,,,
210,49084,American Red Cross of Northwest Wisconsin,C,49R12,Wisconsin Region,D23,North Central Division,3728 Spooner Ave.,0,Altoona,WI,54720,877-618-6628,Central,V,,,
211,43552,American Red Cross serving Panhandle Plains,C,43R16,North Texas Region,D22,Southwest and Rocky Mountain Division,2201 19th St.,0,Lubbock,TX,79411,806-765-8534,Central,VI,,,
212,49162,American Red Cross of Northeast Wisconsin,C,49R12,Wisconsin Region,D23,North Central Division,121 Bader Street,0,Green Bay,WI,54302,877-618-6628,Central,V,,,
213,22172,American Red Cross of Southwest Michigan,C,22R08,Michigan Region,D23,North Central Division,5460 Venture Ct,0,Kalamazoo,MI,49009,269-353-6180,Eastern,V,,,
214,15422,American Red Cross of Northwest Iowa and Northeast Nebraska,C,15R08,Nebraska Iowa Region,D23,North Central Division,401 Douglas St,#101,Sioux City,IA,51101,712-252-4081,Central,VII,,,
215,05052,American Red Cross of Northern California,C,05R20,California Gold Country Region,D21,Pacific Division,14085-1601 Esplanade Way,Ste 6,Chico,CA,95927,530-673-1460,Pacific,IX,,,
216,17048,American Red Cross Bluegrass Area,C,17R08,Kentucky Region,D24,Central Atlantic Division,1450 Newton Pike,0,Lexington,KY,40511,859-253-1331,Eastern,IV,,,
217,33088,American Red Cross serving the Blue Ridge Piedmont of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,1375 Lenoir Rhyne West,Suite 119,Hickory,NC,28602,828-322-4151,Eastern,IV,,,
218,40048,American Red Cross of Lowcountry South Carolina,R,40R08,South Carolina Region,D25,Southeast and Caribbean Division,2424- A City Hall Lane,0,North Charleston,SC,29406,843-764-2323,Eastern,IV,,,
219,16274,American Red Cross of South Central and Southeast Kansas,C,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,707 N Main St,0,Wichita,KS,67203,316-219-4000,Central,VII,,,
220,44022,American Red Cross Central and Southern Utah,C,44R04,Utah and Nevada Region,D22,Southwest and Rocky Mountain Division,450 W 1086 N,0,Springville,UT,84663,801-373-8580,Mountain,VIII,,,
221,03068,ARC of Northern Arizona,C,03R04,Arizona and New Mexico Region,D22,Southwest and Rocky Mountain Division,1750 Railroad Spring Blvd,0,Flagstaff,AZ,86001,928-779-5494,Mountain,IX,,,
222,10122,ARC of North Central Florida,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,1425 NW 5th St,0,Gainesville,FL,32601,904-358-8091,Eastern,IV,,,
223,58010,American Red Cross of the Virgin Islands,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,6035 Castle Coakley,,Christeansted,VI,00820,340-778-5104,Atlantic,II,M,84,"00820, Christiansted, Virgin Islands"
224,53004,American Red Cross of Guam,C,54R04,Pacific Islands Region,D21,Pacific Division,285 Rte 4,,Hagatna,GU,96910,671-472-6217,Chamorro,X,T,97.42,"285 Rte 4, Hagåtña, 96910"
225,55004,American Red Cross of Northern Mariana Islands,C,54R04,Pacific Islands Region,D21,Pacific Division,Airport Rd St Vincente,,Saipan,MP,96950,670-234-3459,Chamorro,X,M,84,"96950, Saipan"
226,56004,American Red Cross of Puerto Rico,R,56R04,Puerto Rico Region,D25,Southeast and Caribbean Division,Paseo Dr. José Celso Barbosa,American Red Cross Bldg  2nd Floor,Rio Pedras,PR,00935,787-758-8150,Atlantic,II,M,86.7,"Paseo Dr. José Celso Barbosa, Gobernador Piñero, San Juan, 00921"
